Sample	Cluster
GSM917011	1
GSM917014	1
GSM917018	1
GSM917016	1
GSM917015	1
GSM917017	1
GSM917019	1
GSM917025	2
GSM917021	1
GSM917022	1
GSM917024	1
GSM917020	1
GSM917023	1
GSM917029	1
GSM917028	1
GSM917040	1
GSM917026	1
GSM917027	1
GSM917031	3
GSM917032	1
GSM917034	1
GSM917030	1
GSM917038	1
GSM917039	1
GSM917033	1
GSM917036	1
GSM917035	1
GSM917037	1
GSM917041	1
GSM917049	1
GSM917042	1
GSM917045	1
GSM917043	1
GSM917052	1
GSM917051	1
GSM917044	1
GSM917050	1
GSM917046	1
GSM917053	1
GSM917054	1
GSM917055	1
GSM917047	1
GSM917048	1
GSM917056	1
GSM917060	1
GSM917061	1
GSM917058	1
GSM917057	1
GSM917059	1
GSM917067	4
GSM917070	4
GSM917063	4
GSM917062	4
GSM917065	4
GSM917066	4
GSM917064	4
GSM917069	4
GSM917068	4
GSM917071	4
GSM917076	4
GSM917072	4
GSM917075	4
GSM917078	4
GSM917077	4
GSM917074	4
GSM917082	4
GSM917073	4
GSM917086	4
GSM917085	4
GSM917080	4
GSM917081	4
GSM917079	4
GSM917084	4
GSM917083	4
GSM917090	4
GSM917087	4
GSM917089	4
GSM917091	4
GSM917092	4
GSM917093	4
GSM917097	4
GSM917094	4
GSM917101	4
GSM917088	4
GSM917099	4
GSM917100	4
GSM917096	4
GSM917098	4
GSM917095	4
GSM917104	4
GSM917102	4
GSM917105	4
GSM917109	4
GSM917112	4
GSM917103	4
GSM917107	4
GSM917113	4
GSM917106	4
GSM917111	4
GSM917108	4
GSM917114	4
GSM917110	4
GSM917116	4
GSM917115	4
GSM917118	4
GSM917117	4
GSM917119	4
GSM917121	4
GSM917128	4
GSM917122	4
GSM917120	4
GSM917127	4
GSM917129	4
GSM917124	4
GSM917131	4
GSM917126	4
GSM917123	4
GSM917130	4
GSM917125	4
GSM917145	4
GSM917137	4
GSM917143	4
GSM917135	4
GSM917136	5
GSM917134	4
GSM917138	4
GSM917132	4
GSM917133	4
GSM917141	4
GSM917144	4
GSM917142	4
GSM917140	4
GSM917146	4
GSM917139	4
GSM917147	4
GSM917149	4
GSM917150	4
GSM917160	4
GSM917152	4
GSM917148	4
GSM917154	4
GSM917157	4
GSM917151	4
GSM917158	4
GSM917161	4
GSM917156	4
GSM917155	4
GSM917159	4
GSM917153	4
GSM917166	4
GSM917162	4
GSM917165	4
GSM917163	4
GSM917171	4
GSM917168	4
GSM917175	4
GSM917172	4
GSM917176	4
GSM917170	4
GSM917173	4
GSM917174	4
GSM917169	4
GSM917164	4
GSM917177	4
GSM917167	4
GSM917179	4
GSM917182	4
GSM917181	4
GSM917180	4
GSM917178	4
GSM917190	4
GSM917184	4
GSM917185	4
GSM917189	4
GSM917183	4
GSM917187	4
GSM917191	4
GSM917188	4
GSM917186	4
GSM917192	4
GSM917196	4
GSM917198	4
GSM917195	4
GSM917201	4
GSM917199	4
GSM917193	4
GSM917205	4
GSM917194	4
GSM917200	4
GSM917202	4
GSM917197	4
GSM917204	4
GSM917203	4
GSM917206	4
GSM917208	4
GSM917210	4
GSM917209	4
GSM917211	4
GSM917216	4
GSM917218	4
GSM917215	4
GSM917220	4
GSM917207	4
GSM917221	4
GSM917212	4
GSM917214	4
GSM917217	4
GSM917219	4
GSM917213	4
GSM917223	4
GSM917225	4
GSM917224	4
GSM917222	5
GSM917226	4
GSM917227	4
GSM917229	4
GSM917233	4
GSM917231	4
GSM917232	4
GSM917234	4
GSM917236	4
GSM917235	4
GSM917230	4
GSM917228	4
GSM917237	4
GSM917240	4
GSM917239	4
GSM917238	4
GSM917241	4
GSM917242	4
GSM917251	4
GSM917243	5
GSM917248	4
GSM917249	4
GSM917250	4
GSM917244	4
GSM917246	4
GSM917247	4
GSM917245	4
GSM917254	4
GSM917256	4
GSM917253	4
GSM917252	4
GSM917261	4
GSM917255	1
GSM917257	4
GSM917265	4
GSM917264	4
GSM917258	4
GSM917266	4
GSM917262	4
GSM917260	4
GSM917263	4
GSM917259	4
GSM917268	4
GSM917269	4
GSM917267	2
GSM917271	4
GSM917279	4
GSM917281	4
GSM917272	4
GSM917278	4
GSM917270	4
GSM917275	4
GSM917274	4
GSM917276	4
GSM917273	4
GSM917277	4
GSM917280	4
GSM917285	4
GSM917283	4
GSM917282	4
GSM917289	4
GSM917286	4
GSM917295	4
GSM917284	4
GSM917291	4
GSM917290	4
GSM917287	4
GSM917294	4
GSM917288	4
GSM917293	4
GSM917292	4
GSM917012	1
GSM917013	1
